Name,Type of Activity,Description,Location,Opening Times  
"Al Azhar Park","Outdoor Activity","A large park with beautiful gardens and recreational areas.","Cairo","N/A"  
"Aquarium Grotto Park","Outdoor Activity","A park featuring an aquarium and scenic views.","Zamalek, Cairo","N/A"  
"Family Park","Outdoor Activity","A family-friendly park with various activities.","New Cairo","N/A"  
"Nile Cruise (Felucca)","Outdoor Activity","Sail the Nile River at sunset.","Maadi, Zamalek","N/A"  
"Zawya","Movie Screenings & Art Performances","Art-house cinema screening alternative films and local independent movies.","15 Emad El-Deen, Downtown","Check weekly schedule"  
"Magnolia Leaves of Art","Movie Screenings & Art Performances","An art space for screenings, performances, and exhibitions.","12 Mohamed Anis St., Zamalek","11:00 AM - 11:00 PM"  
"Wekalet El-Ghouri","Cultural Show","Home to the Whirling Dervishes Show with folk music.","Islamic Cairo","Saturdays, Mondays & Wednesdays, 7:30 PM - 9:00 PM"  
"Grip n Climb","Thrill-Seeking Activity","Indoor wall-climbing facility with zip-lining and rope courses.","Cairo Festival City Mall","10 AM - 12 AM"  
"Ski Egypt","Thrill-Seeking Activity","Indoor skiing experience in a desert country.","Mall of Egypt, 6th of October City","10 AM - 11 PM"  
"Autovrooom Cairo","Thrill-Seeking Activity","Amusement park for racing karts.","Obour City","2:30 PM - 12 AM"  
"Gravity Code","Thrill-Seeking Activity","Trampoline-based activities for kids and adults.","3 Skies Plaza, 5th Settlement","10 AM - 11 PM"  
"Verticality Zorbing Park","Thrill-Seeking Activity","Zorbing park for fun and adventure.","The Field Maadi Sports Community Club","12 PM - 9 PM"  
"AirZone Egypt","Thrill-Seeking Activity","Trampoline park for kids and adults.","Point 90 Mall, New Cairo & Avenue Mall, Obour City","11 AM - 5 PM (Sun-Wed)"  
"Aerodium Egypt","Thrill-Seeking Activity","Indoor skydiving experience.","Cairo Festival City, 5th Settlement","10 AM - 11 PM"  
"Funtopia Cairo","Thrill-Seeking Activity","Trampoline park with bowling and arcade games.","Inside Mazar Mall, 6th of October City","10 AM - 12 AM"  
"Adrenalin Park","Thrill-Seeking Activity","Amusement park offering paintball, laser fights, and treasure hunts.","Gate 1, Al-Hezam El-Akhdar, 6th of October","12 PM - 8 PM"  
"Sky Zone Egypt","Thrill-Seeking Activity","Trampoline park with various activities.","Dandy Mega Mall, 6th of October City","10 AM - 11 PM"  
